description,latitude,longitude,4,hirePoint,chargePoint,accommodation,foodAndDrink,place,numberElectricBikes,regularBikes,url,image,address
"Pitch and putt, tennis, crazy golf, refreshments and picnic area right in Ambleside town centre.",54.429878,-2.965300,1916,0,1,0,1,"White Platts Recreation Area, Ambleside",0,4+,http://www.electricbicyclenetwork.com/Listings/white-platts-recreation-area-ambleside/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/White-Platts.jpg,"White Platts Recreation Area, Ambleside LA22 9DJ"
Ashbourne Cycle Hire is one of the National Park\'s cycle hire centres situated at the southern end of the Tissington Trail just outside Ashbourne town centre.,53.018231,-1.743191,1984,0,1,0,1,Ashbourne Cycle Hire,0,10,http://www.electricbicyclenetwork.com/Listings/ashbourne-cycle-hire/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Ashbourne-centre.jpg,Mapleton Lane Ashbourne Derbyshire DE6 2AA
"Welcoming cafe, gallery and B&B located in the historic town square of Broughton-in-Furness.",54.278152,-3.211628,1991,0,1,1,1,"The Square Cafe, B&#038;B &#038; Gallery, Broughton-in-Furness",0,0,http://www.electricbicyclenetwork.com/Listings/the-square-cafe-bb-gallery-broughton-in-furness/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Square-Cafe-Broughton.jpg,"Annan House, The Square, Broughton-in-Furness, Cumbria, LA20 6JA"
"Skelwith Fold Caravan Park is set in 130 acres of beautiful woodland and meadows. Standard and premium touring pitches available throughout the year, with fantastic facilities including launderette, library, self-service shop, adventure playground. In addition there are permanent holiday homes also available for sale.",54.416028,-2.997022,2029,1,0,1,0,"Skelwith Fold Caravan Park, Ambleside",4,0,http://www.electricbicyclenetwork.com/Listings/skelwith-fold-caravan-park-ambleside/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Skelwith-Fold.jpg,"Skelwith Fold Caravan Park, Ambleside, Cumbria LA22 0HX"
"Cafe based at Dove Cottage serving fresh, delicious food everyday all day throughout the summer.",54.37742208337909,-2.813943365051273,2035,0,1,0,1,Wilfs Cafe @ Staveley Mill Yard,0,0,http://www.electricbicyclenetwork.com/Listings/wilfs-cafe-dove-cottage-grasmere/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Wilfs-Cafe-Grasmere.jpg,Staveley LA8 9LR
"Maggs Howe is a former working farm in an idyllic Lakeland valley, offering B&amp;B, lunches, afternoon tea and camping barn which sleeps up to 12 people.",54.428967,-2.831125,2092,0,1,1,1,"Maggs Howe Bed and Breakfast, Kentmere",0,0,http://www.electricbicyclenetwork.com/Listings/maggs-howe-bb/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Maggs-Howe.jpg,"Kentmere, Kendal, Cumbria LA8 9JP"
"Traditional, award winning Cumbrian Inn perfectly located in the heart of Wasdale, serving good food and beer all day.",54.423849,-3.351924,2102,0,1,1,1,"The Strands Inn, Nether Wasdale",0,0,http://www.electricbicyclenetwork.com/Listings/the-strands-inn-nether-wasdale/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/The-Strands-Inn.jpg,Cumbria CA20 1ET
"Comfortable, relaxed B&B / self-catering accommodation close to Boot and Eskdale Green, in the heart of Eskdale.",54.396650,-3.267231,2105,0,1,1,0,"Stanley House B&#038;B, Boot",0,0,http://www.electricbicyclenetwork.com/Listings/stanley-house-bb-boot/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Stanley-House-Boot.jpg,"Eskdale, CA19 1TF"
"Set in the remote western valleys close to Wastwater, England\'s deepest lake, and Scafell Pike, England\'s highest mountain. Open all year for campers with tents and campervans.",54.453974,-3.263969,2012,0,1,1,1,"National Trust campsite, Wasdale, Cumbria",0,0,http://www.electricbicyclenetwork.com/Listings/national-trust-campsite-wasdale-cumbria/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/National-Trust-campsite-Wasdale.jpg,"National Trust campsite, Wasdale Head, Cumbria CA20 1EX"
"New cycle hire business based at Muncaster Castle offering standard and electric bike hire, to explore the wonderful Eskdale and Wasdale Valleys, and along the West Cumbrian coast. Plus repair service and sales.",54.354579882511956,-3.4104763148498023,2015,1,1,0,1,"Muncaster Cycles, Ravenglass",5,10+,http://www.electricbicyclenetwork.com/Listings/muncaster-cycles-muncaster-castle-ravenglass/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Muncaster-Castle.jpg,"Muncaster Cycles, The Old Butchers Shop, Main Street, Ravenglass, CA18 1SQ"
"Beautifully located campsite in the heart of the Eskdale Valley - a walkers\' paradise, described as one of the  loveliest of Lakeland Valleys by Alfred Wainwright. Fully equipped Camping Barn, Camping Pods, tents (80 pitches). Non-members welcome.",54.395938,-3.241138,2021,0,1,1,1,Camping and Caravanning Club &#8211; Eskdale,0,0,http://www.electricbicyclenetwork.com/Listings/camping-and-caravanning-club-eskdale/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Eskdale-Camp-Site.jpg,"Eskdale Camping and Caravanning Club, Boot, Holmrook, Cumbria CA19 1TH"
"The Ravenglass & Eskdale Railway is the oldest and longest, most scenic railway in Lakeland. At Dalegarth Station there is a cafe, shop, lots of information and wonderful trails to explore this corner of the Lakes.",54.395190,-3.274310,2018,0,1,0,1,"Dalegarth Station, Ravenglass and Eskdale Railway",0,0,http://www.electricbicyclenetwork.com/Listings/dalegarth-station-ravenglass-and-eskdale-railway-boot/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Ravenglass-Eskdale-Railway.jpg,"Boot, Holmrook, Cumbria CA19 1TF"
"A historic inn, set at the foot of Hardknott Pass offering restaurant dining, pub, cafe, shop and B&B.",54.397762,-3.249314,2008,0,1,1,1,"The Wool Pack Inn, Hardknott Pass, Eskdale",0,0,http://www.electricbicyclenetwork.com/Listings/the-wool-pack-inn-hardknott-pass-eskdale/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/woolpack-inn-eskdale.jpg,"The Wool Pack Inn, Hardknott Pass, Eskdale, Cumbria CA19 1TH"
"Family owned Lake district country Inn and Restaurant with 7 en-suite bedrooms providing excellent quality accommodation, imaginative food real ales and over 130 malt whiskies.",54.398070,-3.269921,2004,0,1,1,1,"Brook House Inn &#038; Restaurant, Boot, Eskdale",0,0,http://www.electricbicyclenetwork.com/Listings/brook-house-inn-restaurant-boot-eskdale/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Brook-House-Inn3.jpg,"Brook House Inn, Boot, Eskdale, Cumbria CA19 1TG"
"Nestled in the tranquil Lyth Valley, the Damson Dene Hotel is the ideal location for a peaceful break away from it all. Only a short drive from Lake Windermere and the popular town of Bowness-on-Windermere.",54.314120,-2.883654,2359,1,1,1,1,"Damson Dene Hotel, Crosthwaite",2,0,http://www.electricbicyclenetwork.com/Listings/damson-dene-hotel-crosthwaite/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/DamsonDeneHotel.jpg,"Near Bowness-on-Windermere, Cumbria LA8 8JE"
"An award winning camping and caravan site, with full range of facilities set close to Lake Windermere in stunning countryside. Ebikes available for customers only.",54.310240,-2.938371,2302,1,1,1,1,"Park Cliffe Caravan &amp; Camping Estate, Windermere",2,0,http://www.electricbicyclenetwork.com/Listings/park-cliffe-caravan-camping-estate-windermere/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/TW09B-25841.jpg,"Birks Road, Windermere, Cumbria LA23 3PG"
"Ravenglass & Eskdale Railway is the oldest and longest narrow gauge railway in Lakeland, our collection of heritage steam and diesel engines haul a range of open/closed carriages to guarantee a great day out.",54.355706,-3.408272,2280,0,1,0,1,"Ravenglass Station, Ravenglass &#038; Eskdale Railway",0,0,http://www.electricbicyclenetwork.com/Listings/ravenglass-station-ravenglass-eskdale-railway/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Ravenglass-Eskdale-Railway.jpg,"Ravenglass Station, Ravenglass, Cumbria CA18 1SW"
"Discover every day staples and foodie finds in our 17th century barn farm shop, explore our craft and gift galleries, watch our cows being milked whilst sampling treats from our tearoom menu, or join us for a farm trail through beautiful countryside.       However you choose to enjoy Low Sizergh Barn you will always receive a warm Cumbrian welcome and have the chance to share in our passion for farming, food and the countryside. The perfect venue for a family day trip, doing the grocery shopping the local way, or indulging in afternoon tea we are open throughout the year.",54.280509277424805,-2.765057767675785,3735,0,1,0,1,Low Sizergh Barn Farm Shop,0,0,http://www.electricbicyclenetwork.com/Listings/low-sizergh-barn-farm-shop/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Low-Sizergh-Farm-2.jpg,"Sizergh, Kendal LA8 8AE"
"Rydal Hall offers a range of accommodation (rooms, campsite, cottage and three ecopods). Runs a series of courses, a tea room (where the chargers are located) and wonderful grounds to explore, including formal gardens.",54.4487482,-2.9786622999999963,2514,0,1,1,1,"Rydal Hall Tea Room, Rydal Hall, nr. Ambleside",0,0,http://www.electricbicyclenetwork.com/Listings/rydal-hall-rydal-nr-ambleside/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Rydal-Hall.jpg,Cumbria LA22 9LX
"The hostel is situated in front of the well known Brewery Arts Centre with the front of the hostel leading onto Highgate that is only 200 yards from Kendal town centre. It is a fantastic base from which to explore the Lake District and the Yorkshire Dales on foot, by bike or public transport.",54.3253469,-2.7480588999999327,2602,1,1,1,0,Kendal Hostel,2 Giant electric bikes to hire,0,http://www.electricbicyclenetwork.com/Listings/kendal-hostel/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/IHG-photo-New.jpg,"118-120 Highgate, Kendal, LA9 4HE"
"Watch the sun rise over Windermere and enjoy the magnificent fell views. Abundant opportunities for gentle walks, great off-road biking and non-powered water sports all from the campsite grounds. Leave the car behind and explore the area on foot, by bike or by boat!",54.4008119,-2.9660596999999597,2610,1,1,1,1,Low Wray National Trust campsite,6,10+,http://www.electricbicyclenetwork.com/Listings/low-wray-national-trust-campsite/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Low-Wray-NT-campsite.jpg,"Low Wray, Nr. Ambleside, LA22 0JA"
"The award winning Cedar Manor Hotel & Restaurant is a beautiful country house, with a suite of luxury rooms set in tranquil grounds, close to Windermere Village and the lake shore.",54.3816523,-2.9127207999999882,2679,1,1,1,1,Cedar Manor Hotel &#038; Restaurant,2,0,http://www.electricbicyclenetwork.com/Listings/cedar-manor-hotel-restaurant/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Cedar-Manor.png,"Ambleside Road, Windermere LA23 1AX"
"A fantastic location for a family-friendly campsite, at the head of the majestic and historic Langdale Valley, surrounded by peaks. Electric and standard bikes available on request.",54.44255151816369,-3.098291601635765,2692,1,0,1,1,Great Langdale National Trust campsite,2,0,http://www.electricbicyclenetwork.com/Listings/great-langdale-national-trust-campsite/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Great-Langdale-NT-campsite.jpg,"Langdale Valley, LA22 9JU"
"Large selection of hire bikes to explore the off-road trails in Grizedale Forest and the country lanes of the central Lakes. Located at Grizedale Forest Centre there are a wide range of activities, a cafe, shops and exhibitions on-site too for all the family.",54.33546820038064,-3.0249698137695304,2697,1,1,0,1,"Grizedale Mountain Bikes, Grizedale Forest",4+ Scott ebikes,10+,http://www.electricbicyclenetwork.com/Listings/grizedale-mountain-bikes-grizedale-forest/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Grizedale.jpg,"Grizedale Visitor Centre, Hawkshead, Cumbria, LA22 OQJ"
"A community-run scheme, supported by the Go Lakes Travel programme, providing visitors and locals with access to top-of-the-range standard bikes, childrens\' bikes and trailers, as well as electric bikes for hire.",54.3751705,-2.999187099999972,2702,1,1,0,1,"Hawkshead Post Office, Hawkshead",4 Scott e-bikes,8+,http://www.electricbicyclenetwork.com/Listings/hawkshead-post-office-hawkshead/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Hawkshead-Post-Office.png,"Hawkshead Village Centre, LA22 0NS"
We are a country pub restaurant with 5 bedrooms and somewhere to store bikes over night.,54.3033534,-2.7172014999999874,2717,0,1,1,1,"Station Inn Oxenholme, Kendal",0,0,http://www.electricbicyclenetwork.com/Listings/station-inn-oxenholme-kendal/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Station-Inn-Oxenholme.png,"Oxenholme, Kendal, Cumbria, LA9 7RF"
"Ullswater ‘Steamers’ have been sailing on England’s very own Lake Lucerne since 1859. An award winning attraction, open all year round, with jetties at Pooley Bridge, Howtown and Glenridding Piers. Also running guided electric bike rides over the summer.",54.541771,-2.947732,2722,0,1,0,1,"Ullswater &#8216;Steamers&#8217;, Glenridding Pier House",0,0,http://www.electricbicyclenetwork.com/Listings/ullswater-steamers-glenridding-pier-house/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Ullswater-Steamers.png,"Cumbria, CA11 0US"
"Ullswater ‘Steamers’ have been sailing on England’s very own Lake Lucerne since 1859. An award winning attraction, open all year round, with jetties at Pooley Bridge, Howtown and Glenridding Piers. Also running guided electric bike rides over the summer.",54.61011281765338,-2.828777439209034,2734,0,1,0,1,"&#8216;Ullswater Steamers&#8217;, Pooley Bridge",0,0,http://www.electricbicyclenetwork.com/Listings/ullswater-steamers-pooley-bridge/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Ullswater-Steamers.png,"Dacre, Pooley Bridge, Cumbria CA11"
"Askew Cycles, has been established in Kendal as a cycle shop for over 30 years.  Situated in Kendal, close to the railway station, we offer a large range of expertise in all forms of cycling, including ebike and conventional bike hire.",54.3308749,-2.7406548999999813,2746,1,1,0,0,"Askew Cycles, Kendal",0,4,http://www.electricbicyclenetwork.com/Listings/askew-cycles-kendal/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Askew-Cycles.png,"The Old Brewery, Wildman Street LA9 6EN"
"Ghyllside Cycles is a long established bike shop based in Ambleside.  Located in the Heart of the English Lake District we have superb riding on our doorstep, be that Mountain Biking, Road Cycling or Touring.We are all keen cyclists and are passionate about all areas of cycling.  For good honest advice call in and see us. We hire both conventional and electric bikes.",54.43179869999999,-2.9629194000000325,2836,1,1,0,1,"Ghyllside Cycles, Ambleside",2 BH electric bikes,10+,http://www.electricbicyclenetwork.com/Listings/ghyllside-cycles-ambleside/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Ghyllside-Cycles.jpg,"The Slack, Cumbria LA22 9DQ"
"Located on the east side of Windermere, with spectacular views over the lake and surrouding countryside. Our luxury Lake District getaway is more like a beautiful private home than a hotel, with a restaurant, spa and other conference facilities too.",54.4117,-2.9381647000000157,2841,0,1,1,1,"Holbeck Ghyll Hotel, Spa &#038; Restaurant; Windermere",2 for guests to hire,0,http://www.electricbicyclenetwork.com/Listings/holbeck-ghyll-hotel-spa-windermere/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Holbeck-Ghyll.png,"Holbeck Lane, Cumbria LA23 1LU"
"Quaker Tapestry exhibition in a Grade II Georgian building in the heart of Kendal, with an award winning cafe.",54.328194,-2.7440050000000155,2846,0,1,0,1,"Quaker Tapestry, Kendal",0,0,http://www.electricbicyclenetwork.com/Listings/quaker-tapestry-kendal/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Quaker-Tapestry.jpg,"Friends Meeting House, Stramongate, Kendal Cumbria, LA9 4BH"
"Located in the beautiful village of Orton, below the dramatic limestone scenery of Orton Scar. In the cafe we offer fresh food and drink, made using locally-sourced ingredients.",54.468741,-2.583289,2938,0,1,0,1,Silver Yard Cafe Deli,1,0,http://www.electricbicyclenetwork.com/Listings/silver-yard-cafe-deli/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/SilverYardDeli.png,"Silver Yard, Orton, Penrith, Ca10 3RQ"
"Bashall is one of those must see places, sitting in the heart of the Ribble Valley, surrounded by lush green fields, this is the heart of artisan food production. Housing a 100 seater restaurant and a 40 seater tea room and ice cream parlour, as well as several artisan food producers that can be seen brewing, baking, cooking and ice cream making – this is where food is made.",53.873785,-2.441196,2972,0,1,0,1,"Bashall Barn Food Visitor Centre, Bashall Eaves",none,none,http://www.electricbicyclenetwork.com/Listings/bashall-barn-food-visitor-centre-bashall-eaves/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Bashall-Barn.jpg,"Bashall Barn Ltd, Bashall Town, Clitheroe, BB7 3LQ"
"Bleasdale Cottages offer four star, en-suite, self catering holiday cottage accommodation in the Forest of Bowland A.O.N.B.",53.902366,-2.63792,2976,1,1,1,0,"Bleasdale Cottages, Bleasdale",4,0,http://www.electricbicyclenetwork.com/Listings/bleasdale-cottages-bleasdale/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Bleasdale-Cottages.jpg,"Bleasdale Cottages, Lower Fairsnape Farm, Bleasdale, Preston, Lancashire, PR3 1UY"
"Beautifully situated in the Forest of Bowland at the point where it meets the Yorkshire Dales National Park, Dalesbridge offers stunning scenery and an idyllic setting for visitors wishing to stay and enjoy the area. Originally built in 1907, Dalesbridge offers a variety of excellent group and individual accommodation, including Bed and Breakfast, Self Catering, Bunkhouses and of course the Campsite. Ideally situated for exploring the Forest of Bowland, with the some wonderful cycle routes starting right from our front door.",54.103788,-2.364816,2989,1,1,1,1,"Dalesbridge, Austwick",2,0,http://www.electricbicyclenetwork.com/Listings/dalesbridge-austwick/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Dalesbridge-exterior.jpg,"Austwick, Near Settle, LA2 8AZ"
Whether you are visiting the fell by bike and want a bowl of hot homemade soup to build energy for your ride home or you are treating the family to a cream tea you will always receive good honest food at a reasonable price and a very warm welcome from our friendly team.,53.879958,-2.658134,2974,0,1,0,1,Bowland Visitor Centre (Beacon Fell Country Park),0,0,http://www.electricbicyclenetwork.com/Listings/bowland-visitor-centre-beacon-fell-country-park/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Bowland-Visitor-Centre.jpg,"Bowland Visitor Centre, Goosnargh, Preston, PR3 2ES"
"The oldest continuously trading shop in Britain, established 1668. Art Gallery with exhibitions of work by local artists, bookshop, plants and garden giftware. Tea Garden next to Chipping Brook serving tea, coffee, home-made cakes and Bond\'s ice-cream. Shop selling a wide range of gifts, as well as biscuits, jams and cheese from Leagram Organic Dairy.",53.884616,-2.575103,2981,0,1,0,1,"Brabin&#8217;s Shop, Gallery and Tea Garden, Chipping",none,none,http://www.electricbicyclenetwork.com/Listings/brabins-shop-gallery-tea-garden-chipping/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Brabins-Shop-Pic.jpg,"20-22 Talbot Street, Chipping, PR3 2QE"
"Bridge House Farm is a tearoom/bistro with a difference. The stunningly converted natural stone barn features solid oak floors and real wood burning stoves. Everything on offer is locally sourced. Whether it\'s a coffee and a slice of our tempting selection of cakes or something more substantial, you\'ll always be guaranteed a warm friendly welcome and beautiful surroundings.",54.101508,-2.604103,2983,0,1,0,1,"Bridge House Farm, Wray",none,none,http://www.electricbicyclenetwork.com/Listings/bridge-house-farm-wray/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Bridge-Ho-Farm.jpg,"Bridge House Farm, Wray, Lancaster, LA2 8QP"
"Get closer to nature in the Forest of Bowland and visit Cobble Hey and get a taste of excellent home cooking. We source all our produce locally, and we prepare it all freshly on site. From home baked scones with jam and cream to Goosnargh chicken or turkey served on sandwiches or jacket potatoes just to name a few.",53.897764,-2.707014,2987,0,1,0,1,"Cobble Hey Farm and Gardens, Nr Garstang",none,none,http://www.electricbicyclenetwork.com/Listings/cobble-hey-farm-and-gardens-nr-garstang/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Cobble-Hey.jpg,"Hobbs Lane, Claughton on Brock, Garstang, Preston, PR3 0QN"
"Dine in the Old Vicarage in the heart of the village of Tosside. On the North Yorkshire - Lancashire border with panoramic views from Pen-y-ghent to Pendle Hill. We are a family run business serving traditional homemade, locally sourced food. From freshly baked scones to paninis to slow cooked lamb shanks.",54.000139,-2.352576,2993,0,1,0,1,"The Old Vicarage Tea Rooms, Cafe/Bistro, Tosside",0,0,http://www.electricbicyclenetwork.com/Listings/the-old-vicarage-tea-rooms-cafebistro-tosside/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/old-vicarage.jpg,"The Old Vicarage, Tosside, BD23 4SQ"
"Riverbank Tearooms is a traditional country cafe in the beautiful, historic village of Slaidburn. Family run with local help, all our food is homemade, using the finest local produce wherever possible. The tearoom is licensed and serves a wide variety of homemade meals, snacks and home baking. Cyclists welcome – close to Gisburn Forest.",53.966232,-2.438235,2997,0,1,0,1,"Riverbank Tearooms, Slaidburn",0,0,http://www.electricbicyclenetwork.com/Listings/riverbank-tearooms-slaidburn/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Rbanktea-rooms1.jpg,"The Green, Slaidburn, Lancashire, BB7 3ES"
"An unassuming but attractive coaching inn nestling within the Forest of Bowland, an Area of outstanding natural beauty, in the heart of the Ribble Valley. On one side of the building flows the River Ribble, on the other are the remains of the C12th Cistercian Sawley Abbey, and from a distance the magnificent and brooding Pendle Hill casts its shadow. The dining room has delightful views and serves delicious award winning food and, with one of the loveliest function rooms in the area and seven luxury bedrooms, the Spread Eagle is a jewel in the crown of the Ribble Valley.",53.914817,-2.341805,2999,0,1,1,1,"Spread Eagle Inn, Sawley",none,none,http://www.electricbicyclenetwork.com/Listings/spread-eagle-inn-sawley/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Spread-Eagle.jpg,"Sawley, Clitheroe, BB7 4NH"
"The Three Fishes is situated in the tiny picturesque hamlet of Mitton in the rural haven of the Ribble Valley. As the flagship and first born to Ribble Valley Inns, it has become a legend in these parts. Menus inspired by Nigel Haworth using only the freshest ingredients harvested by our local food heroes. Enjoy regional Cask Ales and an award winning wine list specially chosen by leading wine expert, Craig Bancroft. All of this in a wonderfully relaxing environment, with al fresco dining in the summer and crackling logs fires in the winter.",53.846552,-2.43566,3001,0,1,0,1,"The Three Fishes, Great Mitton",none,none,http://www.electricbicyclenetwork.com/Listings/the-three-fishes-great-mitton/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Three-Fishes.tif,"The Three Fishes, Mitton Road, Mitton, Nr Whalley, Lancashire, BB7 9PQ"
"Puddleducks Tearoom is at the heart of Dunsop Bridge – the village at the centre of Great Britain! We are a family-run business where we make all our own cakes and bread, served in a cosy, country tea room with flagged floor and log burning stove. We also provide an excellent take-out service of hot and cold food and drinks.",53.945807,-2.519431,3065,0,1,0,1,"Puddleducks, Dunsop Bridge",none,-,http://www.electricbicyclenetwork.com/Listings/puddleducks-dunsop-bridge/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Puddleducks.jpg,"Dunsop Bridge, Clitheroe, BB7 3BB"
Situated on the outskirts of Newton-in-Bowland with views over the Bowland Hills the Lodge has 5 Luxury en-suite bedrooms providing Bed and Breakfast. Afternoon Tea available Daily Evening Meals (Reservations only) Monday to Saturday The Lodge has a Residential and Diners Alcohol License Packed Lunches Available to order,53.953257,-2.46083,2985,1,1,1,1,"Clerk Laithe Lodge, Newton-in-Bowland",2,none,http://www.electricbicyclenetwork.com/Listings/clerk-laithe-lodge-newton-in-bowland/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Clerk-Laithe-photo.jpg,"Slaidburn Road, Newton in Bowland, Clitheroe, Lancashire, BB7 3DY"
"Set in an elevated position in a scenic area just outside Keswick, Castlerigg Hall enjoys exceptional panoramic views of Derwentwater & Bassenthwaite Lake set against a dramatic backdrop of the surrounding fells.",54.59252129999999,-3.1114919000000327,3388,1,1,1,1,Castlerigg Hall Caravan &#038; Camping Park,2,0,http://www.electricbicyclenetwork.com/Listings/castlerigg-hall-caravan-camping-park/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Castlerigg.png,"Keswick, Cumbria CA12 4TE"
"Bike charge point available for non-residents, pub and café,  plus B & B rooms, holiday homes, Yurts, Camping Pods and pitches, next to the Tissington Trail near Alsop-en-le-Dale.",53.1061978,-1.7600400999999692,3396,0,1,1,1,Rivendale Caravan &#038; Leisure Park,0,0,http://www.electricbicyclenetwork.com/Listings/rivendale-caravan-leisure-park/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Rivendale-NEWLG.jpg,"Buxton Rd  Ashbourne, Derbyshire DE6 1QU"
Based on the historic quayside of Exeter City. From our shop you can hire a canoe or bike and explore the Exeter river valley park along miles of canal and towpath there are also two great pubs along the way.,50.7175372,-3.5289328999999725,3481,1,1,0,0,"Saddles and Paddles, Exeter",2+,60+,http://www.electricbicyclenetwork.com/Listings/saddles-paddles-exeter/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/SADPAD.jpg,"No 4, Kings Wharf  The Quay, Devon, Exeter EX2 4AP"
"A visit to Yew Tree Barn offers a unique experience. Combining Wilson Reclamation Services Ltd for architctectural and interior antiques, The Gallery for high quality art and design-led crafts,  gifts and interiors, along with artisan studios – all housed in our fantastic traditional 19th century Lake District barn. Spend time wandering through the maze of  displays, enjoy delicious food &amp; drink in Harry’s Cafe Bar and browse the plethora of fascinating artefacts.",54.23232789999999,-2.913410699999986,3653,0,1,0,1,"Yew Tree Barn Antiques,Galleries &amp; Cafe Bar",0,0,http://www.electricbicyclenetwork.com/Listings/yew-tree-barn-gallery-studio-cafe-bar/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/IMG_0031.jpg,"Low Newton, Grange-over-Sands, Cumbria LA11 6JP"
"All round bike shop offering servicing, bike hire (conventional and ebikes), full range of bikes, equipment, cycling clothes and components / accessories for sale.",54.6657793,-2.7554662999999664,3970,1,1,0,0,"Arragons Cycles, Penrith",1,10+,http://www.electricbicyclenetwork.com/Listings/arragons-cycles-penrith/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Arragons.jpg,"2 Brunswick Road, CA11 7LU"
"Dolly Waggon offers quality family run bed and breakfast accommodation in Keswick, the Heart of the Lake District. We aim to ensure that all our visitors have an enjoyable and memorable stay with us.",54.6000803,-3.131774899999982,3979,0,1,1,1,"Dollywaggon Guesthouse, Keswick",0,0,http://www.electricbicyclenetwork.com/Listings/dollywaggon-guesthouse-keswick/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/dollywaggon.png,"17 Helvellyn Street Keswick Cumbria, CA12 4EN"
The Lakeland Climbing Centre offers superb indoorand outdoor rock climbing experiences and is Cumbria’s premier climbing centre with the tallest indoor climbing wall in the country and the finest bouldering walls in the Lake District and North West of England.,54.3422749,-2.7414598000000296,4033,0,1,0,1,"Lakeland Climbing Centre, Kendal",0,0,http://www.electricbicyclenetwork.com/Listings/lakeland-climbing-centre-kendal/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Kendal-Wall.jpg,"Lake District Business Park, Kendal, LA9 6NH"
"A walled Cyclists Cafe Tea Garden with exceptional views across parkland towards Greystoke Castle. Positioned on the crossroads of the famous C2C cross country cycle route and the LeJog West coast E2E route (Lands End to John O Groats aka End to End) , we are a favourite stop off point for those travelling between Keswick and Penrith and Ulswater to Carlisle.",54.675816,-2.869148,4075,0,1,0,1,"Greystoke Cycle Cafe Tea Garden, nr. Penrith",0,0,http://www.electricbicyclenetwork.com/Listings/greystoke-cycle-cafe-tea-garden/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Greystoke.png,"Greystoke Cycle Cafe, Poplin Dub. Greystoke, Johnby , Penrith"
"Bothy Bikes is a family and rider owned mountain bike shop, established in 1996 in Aviemore, Cairngorms National Park, Scotland. Everything we sell we would use ourselves or recommend to our friends; we like stuff that’s simple, stuff that’s fun and stuff that works.",57.2011516,-3.824132899999995,4098,1,1,0,0,"Bothy Bikes, Aviemore",2+,10+,http://www.electricbicyclenetwork.com/Listings/bothy-bikes-aviemore/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Bothy-Bikes.jpg,"5 Granish Way, Dalfaber, Aviemore, Scotland, PH22 1UQ"
